player_id,name,custom_batch,social_primary,social_secondary,signup_chat_source,wipe_primary_templates,wipe_secondary_templates,leave_primary_templates,leave_secondary_templates,leave_policy,runtime_usage
P081,多多虎,自建人物A,厌蠢症,压力怪,Players_Public.csv / whisper_pool（候选卡报名密语）,16,15,12,11,条件退队,灭团性格与退团性格均可在本局触发
P082,动与参与商,自建人物A,团长型,钻空子,Players_Public.csv / whisper_pool（候选卡报名密语）,15,4,15,2,条件退队,灭团性格与退团性格均可在本局触发
P083,芙兰秀秀,自建人物A,自信型,宏依赖,Players_Public.csv / whisper_pool（候选卡报名密语）,15,17,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P084,萌战,自建人物A,老黄牛,不开麦,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P085,成都漫游者,自建人物A,调解者,责任型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P086,汉祚将尽,自建人物A,拱火者,嘴硬型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P087,愤怒月神,自建人物A,自信型,嘴硬型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P088,美味小熊饼干,自建人物A,调解者,团队执行,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P089,魅惑灵魂之火,自建人物A,甩锅型,躺平型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,14,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P090,血暮残影,自建人物A,调解者,团队执行,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P091,姆巴妹,自建人物A,稳定型,宏依赖,Players_Public.csv / whisper_pool（候选卡报名密语）,15,17,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P092,初中肄业,自建人物A,团长型,钻空子,Players_Public.csv / whisper_pool（候选卡报名密语）,15,4,15,2,特殊事件退队,灭团性格与退团性格均可在本局触发
P093,茗依,自建人物A,不开麦,团队执行,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P094,野萌君,自建人物A,调解者,气氛组,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P095,多多球,自建人物A,阴阳怪气,数据执着,Players_Public.csv / whisper_pool（候选卡报名密语）,15,13,15,15,条件退队,灭团性格与退团性格均可在本局触发
P096,Kumaco,自建人物A,气氛组,责任型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P097,佐贺偶像,自建人物A,自信型,宏依赖,Players_Public.csv / whisper_pool（候选卡报名密语）,15,17,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P098,元素打击,自建人物A,小白型,自信型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P099,小鸽鸽,自建人物A,小白型,气氛组,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P100,阿茸,自建人物A,气氛组,责任型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P101,东星太子哥,自建人物A,气氛组,戏精型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,11,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P102,柠檬七喜,自建人物A,团队执行,不开麦,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P103,苏三先生,自建人物B,稳定型,气氛组,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P104,冰冻玫瑰,自建人物B,团长型,责任型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,正常,灭团性格与退团性格均可在本局触发
P105,李一桐,自建人物B,团长型,团队执行,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,正常,灭团性格与退团性格均可在本局触发
P106,鹿乃乃乃乃,自建人物B,自信型,玻璃心,Players_Public.csv / whisper_pool（候选卡报名密语）,15,10,15,14,条件退队,灭团性格与退团性格均可在本局触发
P107,猫丶薄荷,自建人物B,团长型,责任型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,正常,灭团性格与退团性格均可在本局触发
P108,蔡先生,自建人物B,小白型,自信型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,正常,灭团性格与退团性格均可在本局触发
P109,圣光普惠众生,自建人物B,小白型,气氛组,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,正常,灭团性格与退团性格均可在本局触发
P110,牛润发,自建人物B,稳定型,无,Players_Public.csv / whisper_pool（候选卡报名密语）,15,不适用,15,不适用,正常,灭团性格与退团性格均可在本局触发
P111,陈七,自建人物B,沉默型,无,Players_Public.csv / whisper_pool（候选卡报名密语）,15,不适用,15,不适用,正常,灭团性格与退团性格均可在本局触发
P112,Himlyameth,自建人物B,稳定型,无,Players_Public.csv / whisper_pool（候选卡报名密语）,15,不适用,15,不适用,正常,灭团性格与退团性格均可在本局触发
P113,少女拾拾腿,自建人物B,稳定型,无,Players_Public.csv / whisper_pool（候选卡报名密语）,15,不适用,15,不适用,正常,灭团性格与退团性格均可在本局触发
P114,注意我的细节,自建人物B,责任型,团队执行,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,正常,灭团性格与退团性格均可在本局触发
P115,蔡老二,自建人物B,小白型,自信型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
P116,随先生,自建人物B,沉默型,无,Players_Public.csv / whisper_pool（候选卡报名密语）,15,不适用,15,不适用,正常,灭团性格与退团性格均可在本局触发
P117,蔡老板,自建人物B,小白型,自信型,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,正常,灭团性格与退团性格均可在本局触发
P118,雨宫天,自建人物B,责任型,团队执行,Players_Public.csv / whisper_pool（候选卡报名密语）,15,15,15,15,永不主动退队,灭团性格已实装；退团模板已预留，但正常规则下不会主动退团
