ending_title,count,pct_of_runs,hidden
组不到人,874,29.13,否
借口成真,289,9.63,否
耐心归零,236,7.87,否
最后一根稻草,228,7.6,否
战术下线,227,7.57,否
骂完就走,218,7.27,否
散伙分行李,96,3.2,是
滚都滚,87,2.9,是
臭名昭著,82,2.73,否
理智尚存,70,2.33,否
古神沉默,66,2.2,否
负重训练,59,1.97,是
疯狂止步,59,1.97,否
古神封印,51,1.7,否
地底回声终止,46,1.53,否
黑金跑路,28,0.93,是
星穹之下,24,0.8,否
群星见证,24,0.8,否
带薪坐牢,23,0.77,是
泰坦认证,23,0.77,否
观察通过,22,0.73,否
远征闭环,19,0.63,否
分崩离析,18,0.6,是
理智崩塌,18,0.6,否
云雾惊醒,17,0.57,否
尤格的低语,16,0.53,否
脑内迷途,11,0.37,否
触须之林,11,0.37,否
熔炉吞噬,10,0.33,否
熔渣套餐,7,0.23,否
铁水封门,6,0.2,否
三灵复苏,5,0.17,否
孢子区失守,4,0.13,否
出炉即报废,4,0.13,否
炉火未熄,3,0.1,否
猎龙未遂,2,0.07,否
鱼叉齐空,2,0.07,否
实验对象报废,2,0.07,否
三件套复活,2,0.07,否
园艺事故,2,0.07,否
生命花园,1,0.03,否
修理机器人胜利,1,0.03,否
印记盛宴,1,0.03,否
激光扫场,1,0.03,否
焦土围场,1,0.03,否
空中单位拒绝降落,1,0.03,否
暗影冲撞失控,1,0.03,否
议会裁决,1,0.03,否
将军逼近,1,0.03,否
