field,group,data_type,allowed_or_range,description
player_id,标识,文本,P001-P999,与公开表和专精表关联的唯一编号
combat_tier,战斗,枚举,普通|良好|优秀|顶级,人物整体战斗档位，仅用于维护和快速筛选
main_skill,战斗,整数,0-100,主专精综合操作水平
mechanics,战斗,整数,0-100,理解和执行Boss机制的能力
awareness,战斗,整数,0-100,观察脚下、目标和团队状态的能力
stability,战斗,整数,0-100,跨多次战斗保持正常发挥的稳定性
teamwork,战斗,整数,0-100,配合分工、救场和服从安排的能力
learning,战斗,整数,0-100,灭团复盘后在后续尝试中的成长速度
mentality,心理,整数,0-100,受失误、争吵和逆风影响后的心态稳定度
pressure_resistance,心理,整数,0-100,连续灭团、低金池等压力下的耐受度
social_primary,社交,枚举,性格字典中的类型,决定主要团聊风格和互动倾向
social_secondary,社交,文本,多个类型用竖线分隔,用于补充第二性格或特殊表达方式
base_leave_pct,退团,小数,0-1,基础主动退团概率，仍会叠加战况与性格修正
economy_type,消费,枚举,经济类型表中的类型,决定装备需求、捡漏和老板行为
wallet_gold,消费,整数,>=0,角色当前可用于拍卖的金币
reserve_gold,消费,整数,>=0,角色尽量不动用的保留资金
spend_willingness,消费,整数,0-100,有适用装备时参与竞价的意愿
bid_aggression,消费,整数,0-100,竞价时主动抬价和追价的倾向
bargain_factor,消费,小数,0-1,对低价和性价比的偏好程度
purchase_preference,消费,标签,多个标签用竖线分隔,人物偏好的装备和成交条件
claim_honesty,公开信息,整数,0-100,报名公开描述与真实能力的一致程度
source_type,维护,枚举,随机生成|玩家自建,P081开始统一为玩家自建
personality_type,维护,文本,短标签,便于人类阅读的人物性格概括
strength_tags,维护,标签,多个标签用竖线分隔,特别擅长和战斗优势
weakness_tags,维护,标签,多个标签用竖线分隔,明显短板和失误倾向
special_rule,规则,文本,可留空,人物专属的Boss、事件、士气或退团机制
leave_policy,退团,枚举,正常|条件退团|永不主动退队,控制人物是否允许主动离队
description,维护,文本,自然语言,完整隐藏人设说明，仅用于维护且不会在招募页公开
