boss_id,event_id,event_name,target,attributes,team_requirement,event_dc,soft_fail,hard_fail,trait_notes
B01,E01,追击路线,随机驾驶员,机制|稳定,无,56,载具受损，输出-8%,把Boss带进大部队直接灭团,装懂/自信型失败修正更差
B01,E02,炮台处理,随机炮手,意识|团队性,远程有利,58,拆炮台延迟,连续两次无人处理导致载具崩溃,数据执着更易只打本体
B01,E03,载具配合,全团,团队性|稳定,无,54,一组载具掉队,两组载具同时报废,气氛组不影响战斗结果
B02,E01,主坦带位,主坦,专精水平|机制|稳定,双坦,55,场地变差、治疗压力+,火铺满关键区域灭团,团长型可小幅修正
B02,E02,构造体处理,副坦+随机DPS,意识|团队性|机制,副坦,58,构造体多1只,构造体失控灭团,老黄牛加成
B02,E03,灼热之罐,随机成员+治疗,治疗水平|意识,2治疗,57,目标死亡消耗战复,关键治疗被抓且无人补位,奶骑单体有利
B02,E04,烈焰喷射停手,施法者,机制|稳定|服从,无,54,被锁技能，个人输出下降,多人同时被锁引发狂暴,数据执着风险增加
B03,E01,符文卫兵接怪,副坦,专精水平|意识,双坦,58,治疗受攻击,治疗被击杀,单坦队严重惩罚
B03,E02,关键打断,打断组,意识|团队性,至少3打断,59,全团掉血,连续漏断导致治疗崩溃,数据执着降低意愿
B03,E03,小怪转火,DPS组,意识|团队性|实力,远程/AOE,57,落地次数增加,危险小怪失控,老黄牛加成
B03,E04,火焰跑位,随机2人,机制|稳定,无,55,个人受伤,横穿人群造成多人死亡,压力状态影响稳定
B04,E01,重力炸弹,随机成员,机制|稳定|服从,无,65,炸到1-2名队友,在人群爆炸直接灭团,贪刀/数据执着风险增加
B04,E02,灼热之光,随机成员+治疗,机制|治疗水平,2治疗,61,治疗资源提前消耗,连续点名处理失败,移动治疗有利
B04,E03,震击治疗,治疗组,治疗水平|稳定,团队减伤,64,死人或战复消耗,团血崩溃灭团,团队减伤减DC
B04,E04,心脏停手,全DPS,服从|团队性|稳定,无,66,误入更高压力阶段,打穿心脏后无法承受H伤害,数据执着/团长冲突高风险
B05,E01,击杀顺序,全DPS,服从|团队性,团长型不超过1,66,阶段拖长,多人打错目标导致失控,多个团长型可能负修正
B05,E02,打断链,打断组,意识|稳定|团队性,至少3打断,69,坦克重伤,连续漏断直接倒坦,强打断职业加成
B05,E03,死亡符文,随机成员,机制|稳定,无,64,个人死亡,危险区叠加导致多人死亡,贪刀风险增加
B05,E04,坦克减伤,主坦+治疗,坦克水平|治疗水平|稳定,双坦,68,消耗战复,主坦猝死连锁灭团,高装等坦克有利
B06,E01,坦克换嘲,双坦,专精水平|意识|稳定,双坦,64,主坦重伤,层数失控倒坦,单坦不可通过该事件
B06,E02,聚焦眼棱,随机成员,机制|稳定,无,63,带坏场地,横穿全团多人死亡,情绪低落者风险增加
