boss_id,order,boss_name,mode,base_dc,key_checks,loot_rule,hard_mode,tank_mode,healing_pressure,min_tanks,max_tanks,min_healers,max_healers,min_dps,min_tank_ilvl,extra_tank_min_dps,design_note
B01,1,烈焰巨兽,H-四塔,52,载具操作|机制|团队性,普通1件+困难1件,是,载具,中,0,10,0,10,0,0,0,第一关按载具分工，不检查常规坦克和治疗数量
B02,2,掌炉者伊格尼斯,普通,55,坦克带位|副坦处理|单体治疗,普通2件,否,双坦,中,2,2,2,3,5,208,5,双坦硬指标，治疗压力主要来自坦克带位与小怪处理
B03,3,锋鳞,普通,57,双坦|打断|转火|远程,普通2件,否,双坦,中,2,2,2,3,5,208,5,双坦接怪并考验转火与漏怪处理
B04,4,XT-002拆解者,H-碎心者,64,炸弹跑位|团刷|停手|爆发,普通1件+困难1件,是,单坦,高,1,2,2,3,5,212,6,单坦战；若带双坦必须保留六名输出
B05,5,钢铁议会,H-断钢者最后,68,三打断|双坦|服从|减伤,普通1件+困难1件,是,双坦,极高,2,2,2,3,5,216,5,双坦硬指标且末阶段治疗压力极高
B06,6,科隆加恩,普通,61,双坦|眼棱跑位|救石握,普通2件,否,双坦,中,2,2,2,3,5,210,5,双坦换嘲，单坦无法稳定处理双臂和本体
B07,7,奥莉亚,普通,66,开怪纪律|恐惧恢复|打断|宠物控制,普通2件,否,弹性,高,1,2,2,3,5,212,5,可单可双坦，关键在开怪纪律和恐惧后的恢复
B08,8,霍迪尔,H-稀有宝箱,74,移动输出|增益分享|救NPC|嗜血,普通1件+困难1件,是,单坦,高,1,2,2,3,5,216,6,单坦战；若带双坦必须保留六名输出应对限时
B09,9,托里姆,H-希芙在场,76,自动分组|通道推进|场地控怪|分散,普通1件+困难1件,是,双坦,高,2,2,2,3,5,216,5,双坦分组，双治疗够不够取决于真实水平
B10,10,弗蕾亚,H-三长老,78,同步击杀|AOE控制|转火|救根,普通1件+困难1件,是,双坦,极高,2,2,2,3,5,218,5,双坦硬指标；三治疗能缓压但只剩五名输出
B11,11,米米尔隆,H-消防员,84,高密度移动|远程转火|减伤|同步击杀,普通1件+困难1件,是,弹性,极高,1,2,2,3,5,218,5,可单可双坦，高密度移动下治疗水平比治疗人数更关键
B12,12,维扎克斯将军,H-萨隆邪铁畸体,86,治疗资源|打断|印记跑位|坦克减伤,普通1件+困难1件,是,单坦,高,1,2,2,3,5,220,6,单坦战；若带双坦必须保留六名输出避免资源耗尽
B13,13,尤格萨隆,H-零灯,91,理智|传送门|触须转火|脑内爆发,普通1件+困难1件,是,弹性,极高,1,2,2,3,5,220,5,可单可双坦，机制与治疗稳定性共同决定上限
B14,14,观察者奥尔加隆,特殊,101,双坦硬度|治疗强度|星星节奏|黑洞|输出,专属2件,特殊,双坦,极高,2,2,2,3,5,221,5,双坦硬指标且坦克组平均装等要求最高，双治疗必须足够强
