category,template
opening,"开怪倒数结束，主坦迎上{boss}，其余成员也暂时停止了无意义的原地跳跃。"
opening,"战斗正式开始，全团按照预定站位散开，看起来至少排练过一次。"
opening,"{boss}进入战斗状态，十个人同时开始证明自己确实看过攻略。"
opening,"主坦将{boss}拉向预定位置，近战熟练地绕向背后，远程开始寻找自己的八码。"
opening,"第一轮技能即将到来，团队迅速展开阵形，暂时没有人跑反方向。"
opening,"开场仇恨顺利建立，输出们忍住了提前爆发的冲动，至少表面上如此。"
opening,"全团喝下药水进入战斗，今晚最整齐的一轮技能同时亮起。"
opening,"{boss}被固定在场地中央，团队开始迎接第一轮机制检查。"
opening,"战斗计时开始，治疗盯住坦克血线，输出盯住伤害统计，各自都很专注。"
opening,"主坦正面接住{boss}，其他成员从侧后方展开，场面暂时十分专业。"
opening,"团队按照战前分组各自就位，没人知道这种整齐能够维持多久。"
opening,"{boss}发出第一声怒吼，全团也正式结束了战前闲聊。"
opening,"开场阶段顺利展开，坦克建立仇恨，治疗开始预读，输出开始偷偷冲榜。"
opening,"所有增益已经补齐，战斗正式开始，忘记吃合剂的人选择保持沉默。"
opening,"主坦将{boss}带到标记位置，全团围绕场地展开，没有出现明显的迷路人员。"
opening,"第一轮关键技能进入倒计时，团队的注意力终于从装备讨论转回战斗。"
opening,"{boss}进入战斗，近战贴近侧后方，远程主动拉开距离，画面难得井然有序。"
opening,"战斗刚刚开始，所有人都还活着，这通常是今晚阵容最完整的时刻。"
opening,"坦克稳住了{boss}的正面，治疗开始抬血，输出则开始计算自己能贪几秒。"
opening,"全团进入战斗状态，预定战术开始执行，临场发挥暂时还没有介入。"
opening,"{boss}被拉进作战区域，团队按照标记铺开，第一轮机制即将验收学习成果。"
opening,"开场没有人提前抢跑，团队以一种令人意外的方式顺利进入战斗。"
opening,"坦克接怪后迅速调整位置，其余成员各自散开，暂时没有形成大型人群景观。"
opening,"第一轮爆发暂时按下不表，团队决定先确认所有人都会处理基础机制。"
opening,"战斗正式打响，十名团员同时进入专注状态，其中部分人甚至关闭了聊天窗口。"
opening,"主坦与{boss}正面接触，副坦观察层数，其他成员开始执行各自并不复杂的任务。"
opening,"{boss}的血条开始下降，团队的配合看起来也比战前聊天记录可靠一些。"
opening,"开场站位顺利完成，地面技能尚未出现，所有人都显得充满信心。"
opening,"团队进入第一阶段，坦克、治疗和输出各自运转，暂时没有人需要解释自己的行为。"
opening,"{boss}被拉向场地一侧，近战顺势跟上，远程则开始互相确认八码到底有多远。"
opening,"第一轮机制即将落下，全团提前移动，至少没有等地板变色后才开始思考。"
opening,"开场爆发陆续开启，技能特效瞬间铺满屏幕，机制提示也顺便被完全遮住。"
opening,"坦克成功建立仇恨，输出开始完整循环，治疗开始观察谁会成为今晚第一个客户。"
opening,"战斗开始后的前几秒异常平静，仿佛这支团队真的能够一次通过。"
opening,"{boss}进入作战状态，全团从各自的标记出发，正式开始本轮团本实验。"
opening,"开怪过程十分顺利，没有提前倒人，也没有宠物先冲出去替主人接怪。"
opening,"团队完成开场站位，所有人暂时都处在正确的位置，值得记录。"
opening,"第一阶段正式开始，全团按计划展开，计划外内容预计很快出现。"
opening,"主坦稳稳接住{boss}，其余成员也找到了自己的位置，包括刚才一直在问站哪的人。"
kill,"{boss}倒了，先别摸尸体，团长还想维持最后一点秩序。"
kill,"{boss}击杀，刚才全程没说话的人突然开始问掉什么。"
kill,"{boss}躺了，频道里已经有人提前打出“需求”。"
kill,"{boss}倒地，所有人的注意力从机制瞬间转移到装备。"
