结局名称,达成次数,占全部局数比例(%),是否隐藏结局
组不到人,659,21.97,否
借口成真,284,9.47,否
战术下线,265,8.83,否
骂完就走,250,8.33,否
耐心归零,240,8,否
最后一根稻草,236,7.87,否
滚都滚,122,4.07,是
散伙分行李,85,2.83,是
地底回声终止,78,2.6,否
疯狂止步,77,2.57,否
古神沉默,75,2.5,否
理智尚存,64,2.13,否
古神封印,63,2.1,否
带薪坐牢,55,1.83,是
臭名昭著,50,1.67,否
负重训练,49,1.63,是
分崩离析,47,1.57,是
远征闭环,34,1.13,否
黑金跑路,32,1.07,是
云雾惊醒,28,0.93,否
触须之林,26,0.87,否
脑内迷途,26,0.87,否
观察通过,24,0.8,否
星穹之下,23,0.77,否
群星见证,18,0.6,否
泰坦认证,17,0.57,否
理智崩塌,16,0.53,否
尤格的低语,9,0.3,否
熔炉吞噬,7,0.23,否
炉火未熄,6,0.2,否
孢子区失守,5,0.17,否
铁水封门,3,0.1,否
机库最后通告,3,0.1,否
熔渣套餐,3,0.1,否
出炉即报废,3,0.1,否
实验对象报废,2,0.07,否
议会裁决,2,0.07,否
空中单位拒绝降落,2,0.07,否
三件套复活,2,0.07,否
蓝条荒漠,2,0.07,否
激光扫场,2,0.07,否
猎龙未遂,1,0.03,否
焦土围场,1,0.03,否
三灵复苏,1,0.03,否
心脏失控,1,0.03,否
生命花园,1,0.03,否
爆炸幼苗园,1,0.03,否
