trait,polarity,engine_effect,example_chat
稳定型,中性偏正,低级失误率降低；退团率略低,再来
气氛组,正面,灭团后减少士气损失；自身硬实力不一定高,没事 下把过
压力怪,双刃剑,士气高时提高专注；队友犯错后额外降士气并可能喷人,这都能中？
沉默型,中性,几乎不发言；到忍耐极限时直接退团,1
调解者,正面,降低压力怪、拱火者造成的负面效果,先打 别吵
玻璃心,负面条件,自己犯错或被点名后状态下降、退团率提高,我的
责任型,正面,承认失误，下一把学习加成提高,我的 下把注意
自信型,负面条件,水平可能一般但不承认问题，学习收益降低,不是我吧
情绪跟随,双刃剑,高士气时全能力提高，低士气时快速崩盘,看团队状态
拱火者,负面,有人犯错后扩大矛盾，提高被点名者退团率,刚谁中的？
摆烂型,负面条件,低士气后不退团但减少打断、转火和投入,哦
团长型,双刃剑,单个存在时分工效率提高；多个同时存在可能争指挥,打断重新排
一把哥,负面条件,第一次灭团即有较高概率离团,只打一把
数据执着,双刃剑,个人输出提高，转火/打断/停手意愿降低,打断别排第一轮
老黄牛,正面,打断、转火、救场积极，个人数据略低,打断我补
嘴硬型,负面,犯错后甩锅，降低团队士气但不一定退团,我这边没看到
厌蠢症,双刃剑,高水平团队中专注与稳定提高；同一成员重复低级失误或高血量连续灭团时，本人士气与退团阈值快速恶化,这种错还能连续犯？
钻空子,风险型,部分机制可获得小幅额外收益；每个Boss有极低概率触发违规封号事件，角色立即离队并导致散团,这个机制能卡
宏依赖,负面条件,有清晰指挥时可按宏完成基础职责；指挥混乱或宏故障事件触发时，机制与应变能力大幅下降,宏怎么没反应
不开麦,中性偏负,个人执行不受影响；需要主动报点、临时喊话或快速沟通的事件中，团队意识判定小幅下降,打字说
