scene,style_or_trait,template,speaker_scope,target_scope,maintenance_note
报名,打工,{spec}熟练打工,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}打工不要装备,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}纯打工,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}打工，工资怎么算,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}全程打工,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}能打到结束,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,纯打工{spec}，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,纯打工{spec}，听安排,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,纯打工{spec}，能打到散,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}不要装备，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}不拿装，听指挥,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}纯打工，不早退,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}全程在，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}能打到底，听安排,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,打工,{spec}今晚不鸽，能打完,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}会打,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}手法正常,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}不坑人,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}听安排,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}能打断,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}有麦,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}能听指挥,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}会打，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}手法正常，求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}会打，可验成就,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}听指挥，求拉,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}有麦听指挥，求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}听安排，可验成就,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}机制没问题，拉我,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,低调,{spec}不乱跑，求组,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,{spec}双修,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,{spec}可切{offspec},候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,主{spec}，副{offspec},候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,{spec}，缺啥我切啥,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,主{spec}，可切{offspec},候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,主{spec}，副修{offspec},候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,主{spec}，{offspec}也能打,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,这边{spec}，可切{offspec},候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,这边{spec}，副修{offspec},候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,这边{spec}，{offspec}也能打,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,阵容缺啥说，可切{offspec},候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,副修{offspec}，需要就切,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,{offspec}也会，缺口能补,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,位置都能补，可切{offspec},候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,多修,缺哪个位置都行，副修{offspec},候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,{spec}什么进度,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,{spec}打几个,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,{spec}几个老板,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,{spec}团里什么配置,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,{spec}现在还缺什么,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,先问下，现在什么进度,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,先问下，团里什么配置,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,先问下，还缺T、奶还是DPS,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,先问下，现在打到哪了,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,先问下，团里现在啥配置,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,先问下，还缺T奶还是DPS,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,进组前问句，打到哪了,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,进组前问句，几T几奶,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,进组前问句，具体缺啥,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,观望,还没开吧？现在什么进度,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}会一点,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}看过攻略,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}跟着走就行,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}应该会,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}很久没打了,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,{spec}机制差不多记得,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
报名,混子,攻略看过，{spec}来,候选人,自己,可使用{spec}、{offspec}变量，用于招募报名表达
